X--Trace 1::[transient: TIME],Y--Trace 1::[PR2: V(2)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR1: V(3)]
0.014616547,-0.015303848,,0.014616547,-0.668573183
0.014647797,-0.012963808,,0.014647797,-0.800804943
0.014679047,-0.010266497,,0.014679047,-0.902262219
0.014710297,-0.007315131,,0.014710297,-0.969046063
0.014741547,-0.00422269,,0.014741547,-0.998590011
0.014772797,-0.001107579,,0.014772797,-0.989758704
0.014804047,0.001910925,,0.014804047,-0.942891526
0.014835297,0.004717259,,0.014835297,-0.859789555
0.014866547,0.007204008,,0.014866547,-0.743646354
0.014897797,0.00927604,,0.014897797,-0.59892524
0.014929047,0.010854159,,0.014929047,-0.431187765
0.014960297,0.011878146,,0.014960297,-0.246879986
0.014991547,0.012309077,,0.014991547,-0.053084748
0.015022797,0.01213082,,0.015022797,0.142750507
0.015054047,0.011350648,,0.015054047,0.33309994
0.015085297,0.009998968,,0.015085297,0.51064853
0.015116547,0.008128144,,0.015116547,0.668573183
0.015147797,0.005810494,,0.015147797,0.800804943
0.015179047,0.003135502,,0.015179047,0.902262219
0.015210297,0.000206385,,0.015210297,0.969046063
0.015241547,-0.002863875,,0.015241547,0.998590011
0.015272797,-0.005956875,,0.015272797,0.989758704
0.015304047,-0.008953337,,0.015304047,0.942891526
0.015335297,-0.011737697,,0.015335297,0.859789555
0.015366547,-0.014202542,,0.015366547,0.743646354
0.015397797,-0.016252738,,0.015397797,0.59892524
0.015429047,-0.017809088,,0.015429047,0.431187765
0.015460297,-0.018811374,,0.015460297,0.246879986
0.015491547,-0.019220674,,0.015491547,0.053084748
0.015522797,-0.019020851,,0.015522797,-0.142750507
0.015554047,-0.018219182,,0.015554047,-0.33309994
0.015585297,-0.01684607,,0.015585297,-0.51064853
0.015616547,-0.014953883,,0.015616547,-0.668573183
0.015647797,-0.012614935,,0.015647797,-0.800804943
0.015679047,-0.009918712,,0.015679047,-0.902262219
0.015710297,-0.006968431,,0.015710297,-0.969046063
